Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
"Prior to the automatic renewal and billing, we will notify you in advance (via the email you used at the time of enrollment) of (i) the pending renewal, (ii) the then current fees and charges applicable to the Passport Program, and (iii) where you may find more information about the Passport Program. We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you.",Email to cancel,Obstruction,Hard to Cancel,Other Page,No,https://www.cheryls.com/passport-terms-and-conditions
"To cancel your order before it ships, call us.",Call to cancel,Obstruction,Hard to Cancel,Other Page,No,https://www.discountcontactlenses.com/faq
"Exposed Membership (recurring subscription) and Cancellations If You order with Exposed Membership, you are selecting a recurring billing subscription, where You will receive a new kit approximately every 60 days. You are able to cancel by contacting Exposed customer care at 1-866-404-7656, 8am – 4pm Pacific Time, M-F. If You are part of our Monthly installment program, You will be billed in two monthly installments for each acne kit shipped. Each kit will be shipped every two months unless your membership is canceled. To cancel Your Exposed Membership, You must: 1. first pay in full for all kits that have been shipped 2. and, then contact Exposed customer care at 1-866-404-7656 8am – 4pm Pacific Time, M-F to process Your cancellation.",Call to cancel,Obstruction,Hard to Cancel,Other Page,No,https://www.exposedskincare.com/terms/
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Call to cancel,Obstruction,Hard to Cancel,Cart Page,No,https://www.fabletics.ca/product?id=7941769&psrc=also%5Flove
Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,69.99 becomes 90.61. Shipping charges are not disclosed until the end.,Sneaking,Hidden Costs,Checkout Process,Depends,https://www.1800flowers.com/florist-delivered-wonderful-wishes-167006?categoryId=400064999
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Sneaking,Hidden Costs,Checkout Process,Depends,https://www.proflowers.com/product/premium-all-the-frills-prd-30185587
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,38 becomes 55,Sneaking,Hidden Costs,Checkout Process,Depends,https://www.sendflowers.com/product/hugs_and_kisses.htm
Free 60 day VIP trial membership with this order. Cancel anytime.,Doesn't tell you about the recurring charge for the membership,Sneaking,Hidden Subscription,Cart Page,Depends,https://www.grove.co/catalog/product/meyers-hand-lotion/?v=1308
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.","Says ""free"" but is paid",Sneaking,Hidden Subscription,Checkout Process,Depends,https://www.next.co.uk/g722252s3#947539
"◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.",You end up with a renewing ifit membership which is not disclosed. It only states that you receive a 1-year iFit membership,Sneaking,Hidden Subscription,Product Page,Depends,https://www.proform.com/exercise-bikes/studio-bike-pro?alt=y
"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year. ",Doesn't tell you about the recurring charge until final review.,Sneaking,Hidden Subscription,Product Page,Depends,https://www.roadrunnersports.com/rrs/products/25566/mens-brooks-glycerin-17/
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Free netflix that recurs,Sneaking,Hidden Subscription,Product Page,Depends,https://www.vodafone.co.nz/pay-monthly/
Enjoy FREE shipping with WSJwine Advantage,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Sneaking,Hidden Subscription,Product Page,Depends,https://www.wsjwine.com/product/M09537
Shipping Insurance Remove Insurance,Shipping insurance is default,Sneaking,Sneak into Basket,Product Page,Depends,https://winebarrel.com/cart/cart_view.cfm?CFID=26622368&CFTOKEN=c71ae4493255be25-E49705D0-D675-6431-8711AB2F3A1FF211
SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,$1.00 donation is default,Sneaking,Sneak into Basket,Cart Page,Depends,https://www.silencershop.com/s-w-m-p-shield-threaded-barrel.html
Purchase protection added,Adds insurance by default,Sneaking,Sneak into Basket,Product Page,Depends,https://www.templeandwebster.com.au/Chaz-Cotton-Cushion-9313760494646-KASK2253.html?event_id=10969
Selling fast!,Product image,Scarcity,High-demand Message,Product Page,No,https://www.burton.co.uk/en/bruk/product/sale-offers-1935754/mens-sale-view-all-6870632/2-piece-black-essential-skinny-fit-suit-8603567
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://adogadgets.com/collections/most-popular/products/quadcopter-wifi-hd-camera-drone
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://blade-city.com/products/closeout-free-lighter-knife
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Cart Page,No,https://briogeohair.com/collections/farewell-frizz/products/farewell-frizz-smoothing-shampoo
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://dailygifty.com/products/100-natural-bamboo-charging-dock-station-for-mobile-phone-and-watch
"An item you ordered is in high demand. No worries, we have reserved your order.","Conversion pirate plugin, resets",Scarcity,High-demand Message,Checkout Process,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://fans-made.com/collections/marvel-products/products/sexy-motherf-ker-unisex-hoodie
Will sell out fast!,Product detail,Scarcity,High-demand Message,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Strong demand! Complete your order before it's too late!,Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://fuzz.online/products/fg-grater
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
"An item you ordered is in high demand. No worries, we have reserved your order.",Conversion pirate,Scarcity,High-demand Message,Checkout Process,No,https://monkstars.com/collections/sale/products/knights-templar-tops-2?variant=13484920832098
